axis_id,intended_side_mode,n_candidates,n_passed,n_rejected,n_not_evaluated,n_error,realized_long_trade_count,realized_short_trade_count,trade_count_sum,avg_gross_bps,avg_net_bps
C,LONG,96,9,87,0,0,565679,0,565649,3037.9260840089337,3028.1083756756
C,SHORT,96,0,96,0,0,0,559696,559683,-0.8236817683898199,-5.959098435056487
D,LONG,448,0,448,0,0,1789733,0,1789701,0.05360524758686851,-2.6651447524131315
D,SHORT,448,0,448,0,0,0,1830355,1830319,-0.24019748979846023,-2.9589474897984607
H,LONG,96,11,85,0,0,195450,0,195431,5660.50053382635,5652.79740882635
H,SHORT,96,0,96,0,0,0,264587,264561,-122.01771092690369,-129.11666926023705
