band_k,samples,n_status_passed,n_status_rejected_no_trades,n_status_rejected_other,mean_trade_count,mean_long_trade_count,mean_gross_bps,mean_net_bps
0.5,32,0,26,6,5012.15625,5012.25,0.04121874741558623,-2.677531252584414
1.0,32,0,26,6,4725.71875,4725.8125,0.04885764564864473,-2.6698923543513553
1.5,32,0,26,6,1000.0625,1000.0625,0.1650223064674986,-2.5537276935325015
